Document ID,Petitioner,Petitioner_Category,Denial_Reason,Rationale_Depth
FDA-2017-P-0052-0203,FDA CBER to Donor Sibling Reg,Other,Other/Unspecified,Highly detailed
FDA-2017-P-1077-0004,CDER to Recordati Rare Diseas,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-3675-0005,FDA CDER to Teligent P,Other,Moot/Withdrawn,Highly detailed
FDA-2017-P-1002-0003,FDA CDRH to INRange Systems,Other,Enforcement discretion,Brief
FDA-2017-P-5954-0006,FDA CDER to Elite Labo,Other,Moot/Withdrawn,Highly detailed
FDA-2017-P-2365-0006,FDA to The Office of Se,Other,Other/Unspecified,Highly detailed
FDA-2017-P-4372-0004,FDA CFSAN to AEGIS,Other,Moot/Withdrawn,Moderately detailed
FDA-2017-P-4575-0200,Unilever for a 1 year Extension,Other,Other/Unspecified,Brief
FDA-2017-P-2803-0018,FDA CDER to Apotex,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-6692-0042,FDA CDER to Drug Watch,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-6029-0022,FDA CDER to Novo Nordisk  Inc,Industry,Premature/Pending other action,Highly detailed
FDA-2017-P-4500-1796,FDA CBER to Kent Hecken,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-0663-0003,FDA CDER to Mucodel Ph,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-1226-0004,FDA CDRH to INRange Systems I,Other,Enforcement discretion,Brief
FDA-2017-P-6274-0007,FDA CDER to Amneal Pharmaceut,Industry,Premature/Pending other action,Highly detailed
FDA-2017-P-4360-0014,FDA CDER to Mallinckro,Industry,Premature/Pending other action,Highly detailed
FDA-2017-P-6923-0003,FDA CDER to Zydus Nove,Other,Premature/Pending other action,Highly detailed
FDA-2017-P-6922-0009,FDA CDER,Other,Insufficient evidence/data,Highly detailed
FDA-2017-P-4745-0026,FDA CDER to Allergan,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-4490-0006,FDA C,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-3806-0004,FDA CDER to Greg Grillo,Other,Insufficient evidence/data,Highly detailed
FDA-2018-P-4832-0005,FDA CDER to Goodwin Pro,Other,Procedural issue,Highly detailed
FDA-2018-P-3896-0006,FDA CDRH to Chul Hi Park Re,Other,Procedural issue,Highly detailed
FDA-2018-P-3176-0005,FDA CDER to Medefil  In,Other,Other/Unspecified,Highly detailed
FDA-2018-P-3211-0004,FDA C,Other,Other/Unspecified,Highly detailed
FDA-2018-P-1880-0005,FDA CDER to Louis Morris Aled,Other,Other/Unspecified,Highly detailed
FDA-2018-P-1173-0036,FDA OC to Alliance for Natura,Other,Procedural issue,Highly detailed
FDA-2018-P-1441-0009,FDA CDER to Mr  Antell and Mr,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-1532-0007,FDA CDER to King   Spa,Other,Other/Unspecified,Moderately detailed
FDA-2018-P-0343-0003,FDA CDER to Fish   R,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-0598-0014,FDA CDER to Kurt Karst,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-3742-0005,FDA CDER to Pharmacmechanics,Industry,Other/Unspecified,Highly detailed
FDA-2018-P-0564-0007,FDA CFSAN to Panera  LL,Other,Other/Unspecified,Highly detailed
FDA-2018-P-1014-0014,FDA CDER to Haynes a,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-0874-0053,FDA CFSAN,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-2050-0005,FDA CDER to SS Formulations,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-3951-0005,FDA CDRH to Chul Hi Park Re,Other,Procedural issue,Highly detailed
FDA-2018-P-1195-0016,FDA CDER to Arnall G,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-1453-0019,FDA CDER to Spear Pharmaceuticals  I,Industry,Premature/Pending other action,Highly detailed
FDA-2018-P-1310-0044,FDA CDER,Other,Insufficient evidence/data,Highly detailed
FDA-2018-P-0884-0005,FDA CDER to Buchanan Ingersol,Other,Other/Unspecified,Highly detailed
FDA-2018-P-3666-0004,FDA CDER to Fresenius,Other,Premature/Pending other action,Highly detailed
FDA-2018-P-1531-0008,CDER to King   Spalding LLP,Other,Other/Unspecified,Moderately detailed
FDA-2019-P-2124-0022,,Unknown,Procedural issue,Moderately detailed
FDA-2019-P-6099-0005,FDA CBER to Patients for Acces,Other,Enforcement discretion,Highly detailed
FDA-2019-P-1640-0010,FDA CFSAN to Top Health,Other,Insufficient evidence/data,Highly detailed
FDA-2019-P-4683-0008,FDA  to Public Citizen s Heal,Public Interest,Premature/Pending other action,Highly detailed
FDA-2019-P-5268-0017,FDA CDER to Public Citi,Other,Premature/Pending other action,Highly detailed
FDA-2019-P-1818-0008,FDA CDER to Public Cit,Other,Other/Unspecified,Highly detailed
FDA-2019-P-6049-0030,FDA CDER to US WorldMeds  LLC,Industry,Premature/Pending other action,Highly detailed
FDA-2019-P-5069-0005,FDA CFSAN to Ms  Rebecc,Other,Other/Unspecified,Highly detailed
FDA-2019-P-5394-0004,FDA CFSAN to Consumer Healthc,Public Interest,Enforcement discretion,Highly detailed
FDA-2019-P-4670-0008,FDA CFSAN to Lonza Inc,Industry,Other/Unspecified,Highly detailed
FDA-2019-P-0417-0013,FDA CDER to Scilex Pharmaceut,Industry,Premature/Pending other action,Highly detailed
FDA-2019-P-6045-0021,FDA CFSAN to Hyman Phel,Other,Other/Unspecified,Highly detailed
FDA-2019-P-4003-0010,FDA CDER to Lisa Myslinski Re,Other,Other/Unspecified,Moderately detailed
FDA-2019-P-2239-0009,FDA to BioNeutra North,Other,Insufficient evidence/data,Highly detailed
FDA-2019-P-1130-0006,FDA CBER to Kent Hecken,Other,Premature/Pending other action,Highly detailed
FDA-2019-P-4644-0039,FDA C,Other,Premature/Pending other action,Highly detailed
FDA-2019-P-1800-0006,FDA CDRH to Boditech Med Inc,Industry,Procedural issue,Brief
FDA-2019-P-2998-0104,FDA CDER to Southern Ne,Other,Premature/Pending other action,Highly detailed
FDA-2019-P-2038-0063,FDA CDRH to American D,Other,Enforcement discretion,Minimal
FDA-2019-P-4830-0016,FDA CDER to Ipsen Biopharmace,Industry,Premature/Pending other action,Highly detailed
FDA-2019-P-1893-0010,FDA CDER to Novartis Ph,Other,Insufficient evidence/data,Highly detailed
FDA-2020-P-0599-0004,FDA CDER to Romark Laboratori,Other,Insufficient evidence/data,Highly detailed
FDA-2020-P-1246-0004,FDA CDER to Fresenius Kabi US,Other,Other/Unspecified,Highly detailed
FDA-2020-P-0763-0005,FDA CDER to Clark Anderson,Other,Insufficient evidence/data,Highly detailed
FDA-2020-P-2289-0005,FDA CDRH to James N  Czaban,Other,Procedural issue,Highly detailed
FDA-2020-P-1247-0006,FDA CDER to Belcher Pha,Other,Premature/Pending other action,Highly detailed
FDA-2020-P-1859-0006,,Unknown,Moot/Withdrawn,Highly detailed
FDA-2020-P-2225-0008,FDA CBER  to Siri   Glimsta,Other,Premature/Pending other action,Highly detailed
FDA-2020-P-2180-0070,FDA CBER to Siri   Glimstad LLP,Other,Premature/Pending other action,Highly detailed
FDA-2020-P-1166-0005,FDA CDRH to Eckert Se,Other,Premature/Pending other action,Moderately detailed
FDA-2020-P-0421-0008,FDA CDER to Cooley s Anemia F,Other,Other/Unspecified,Highly detailed
FDA-2020-P-1601-0069,FDA CBER to Siri   Glimstad LLP,Other,Procedural issue,Highly detailed
FDA-2020-P-0983-0004,FDA CDER to grBiosystems Inc,Industry,Premature/Pending other action,Highly detailed
FDA-2020-P-1674-0022,FDA CDER to Putting Rare Dise,Other,Other/Unspecified,Moderately detailed
FDA-2020-P-2133-0004,FDA CDER to Fresenius Kabi US,Other,Premature/Pending other action,Highly detailed
FDA-2020-P-1540-0005,FDA CDER to Alliance fo,Other,Insufficient evidence/data,Highly detailed
FDA-2021-P-0700-0004,FDA CVM to Eric Nault,Other,Procedural issue,Highly detailed
FDA-2021-P-0529-1077,FDA CBER,Other,Other/Unspecified,Highly detailed
FDA-2022-P-1186-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-0095-0004,FDA CVM to HARRY DUTY Redacted,Other,Other/Unspecified,Moderately detailed
FDA-2022-P-0536-0032,FDA CDER to Bayer U S,Other,Premature/Pending other action,Highly detailed
FDA-2022-P-0213-0004,FDA CVM to Leslie Novos,Other,Procedural issue,Highly detailed
FDA-2022-P-1255-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-0896-0005,FDA CDER to Greenberg Traurig,Other,Procedural issue,Highly detailed
FDA-2022-P-1248-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-1656-0003,FDA CDER to Fresenius,Other,Other/Unspecified,Highly detailed
FDA-2022-P-1667-0003,FDA CDER to Chem IQ FZCO,Other,Moot/Withdrawn,Highly detailed
FDA-2022-P-0209-0005,FDA CVM to Harry Duty R,Other,Procedural issue,Moderately detailed
FDA-2022-P-1211-0005,American Vapor Manufacturers Cit,Other,Premature/Pending other action,Highly detailed
FDA-2022-P-1125-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-0126-0003,FDA CVM to Harry Duty R,Other,Other/Unspecified,Minimal
FDA-2022-P-0107-0004,FDA CVM to Pet Schooled  Redac,Other,Procedural issue,Brief
FDA-2022-P-0574-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-0253-0004,FDA CVM to Tyler Burch,Other,Procedural issue,Highly detailed
FDA-2022-P-0414-0005,FDA CDER to King   Spaldin,Other,Moot/Withdrawn,Moderately detailed
FDA-2022-P-0394-0004,FDA CVM to Harry Duty R,Other,Procedural issue,Moderately detailed
FDA-2022-P-0754-0003,FDA CVM to Pet Schooled Redact,Other,Procedural issue,Brief
FDA-2022-P-0160-0013,FDA CDER to Ferring Pharmaceu,Industry,Premature/Pending other action,Highly detailed
FDA-2022-P-1407-0003,FDA CVM to Harry Duty R,Other,Procedural issue,Brief
FDA-2022-P-1343-0004,FDA CVM to Harry Duty,Other,Procedural issue,Moderately detailed
FDA-2022-P-0215-0019,FDA CDER to Jonathan H,Other,Procedural issue,Highly detailed
FDA-2022-P-1080-0005,FDA CDER to King   Spalding L,Other,Moot/Withdrawn,Highly detailed
FDA-2022-P-1444-0006,FDA CBER to National Hemophil,Other,Other/Unspecified,Highly detailed
FDA-2022-P-0395-0003,FD,Other,Other/Unspecified,Minimal
FDA-2022-P-0356-0004,FDA CVM to Shasta Evans,Other,Procedural issue,Highly detailed
FDA-2022-P-0063-0004,FDA CVM to Krysta Fox,Other,Procedural issue,Highly detailed
FDA-2022-P-0704-0006,FDA CBER to San Rocco Therape,Other,Procedural issue,Highly detailed
FDA-2022-P-0777-0003,FDA CVM to Donavan Melton Reda,Other,Other/Unspecified,Moderately detailed
FDA-2022-P-0121-0003,FDA CVM to  Pet Schooled Redac,Other,Procedural issue,Brief
FDA-2022-P-1444-0007,FDA CBER to National Hemophil,Other,Other/Unspecified,Highly detailed
FDA-2022-P-0174-0004,FDA CVM to Rona,Other,Procedural issue,Minimal
FDA-2022-P-0172-0004,FDA CVM to Ronald Brock   Reda,Other,Procedural issue,Minimal
FDA-2022-P-0058-0003,FDA CVM to  Donavan Melton Red,Other,Other/Unspecified,Moderately detailed
FDA-2022-P-0324-0004,FDA CDER to Karl Schwartz,Other,Other/Unspecified,Highly detailed
FDA-2022-P-0392-0013,FDA CFASN to American,Other,Moot/Withdrawn,Highly detailed
FDA-2022-P-0149-0014,FDA CDER to Public Citizen s,Public Interest,Premature/Pending other action,Highly detailed
FDA-2022-P-0122-0004,FDA CBER to Jianqing W,Other,Procedural issue,Highly detailed
FDA-2023-P-0171-0003,FDA CVM to Pet Schoole,Other,Other/Unspecified,Brief
FDA-2023-P-0173-0003,FDA CVM to Pet Schoole,Other,Other/Unspecified,Brief
FDA-2023-P-0076-0007,FDA CTP to SMS BZ  LLC,Industry,Premature/Pending other action,Brief
FDA-2024-P-4015-0003,FDA CVM to Kohl Harring,Other,Other/Unspecified,Brief
FDA-2024-P-2625-0004,FDA ORA to J R Imports LLC Re,Industry,Premature/Pending other action,Highly detailed
FDA-2024-P-2150-0009,FDA CDER to Parenteral Techno,Other,Premature/Pending other action,Highly detailed
FDA-2024-P-3563-0005,FDA CDER to Hyman  Phel,Other,Insufficient evidence/data,Highly detailed
FDA-2024-P-1960-0003,FDA ORA to Kohl Harring,Other,Procedural issue,Brief
FDA-2024-P-1380-0003,FDA CVM to Kohl Harring,Other,Other/Unspecified,Brief
FDA-2024-P-2326-0009,FDA CDER to Hyman  Phelps   M,Other,Other/Unspecified,Highly detailed
FDA-2024-P-1717-0003,FDA CVM to Kohl Harring,Other,Other/Unspecified,Brief
FDA-2024-P-3479-0003,FDA CDER to Jingwei Pha,Other,Insufficient evidence/data,Highly detailed
FDA-2024-P-2085-0007,FDA CDER to Hospira Inc,Industry,Other/Unspecified,Highly detailed
FDA-2024-P-3761-0003,FDA CDRH to Spark Biome,Other,Enforcement discretion,Brief
