Docket ID,Petition_Doc,Response_Doc,Response_Days,Within_180
FDA-2004-P-0151,FDA-2004-P-0151-0004,FDA-2004-P-0151-0011,3075,False
FDA-2004-P-0151,FDA-2004-P-0151-0004,FDA-2004-P-0151-0003,172,True
FDA-2004-P-0155,FDA-2004-P-0155-0004,FDA-2004-P-0155-0003,184,False
FDA-2004-P-0274,FDA-2004-P-0274-0004,FDA-2004-P-0274-0003,77,True
FDA-2004-P-0278,FDA-2004-P-0278-0005,FDA-2004-P-0278-0004,876,False
FDA-2004-P-0290,FDA-2004-P-0290-0004,FDA-2004-P-0290-0003,167,True
FDA-2004-P-0290,FDA-2004-P-0290-0004,FDA-2004-P-0290-0007,2996,False
FDA-2004-P-0295,FDA-2004-P-0295-0003,FDA-2004-P-0295-0004,3431,False
FDA-2004-P-0365,FDA-2004-P-0365-0003,FDA-2004-P-0365-0002,158,True
FDA-2004-P-0403,FDA-2004-P-0403-0003,FDA-2004-P-0403-0001,76,True
FDA-2004-P-0419,FDA-2004-P-0419-0004,FDA-2004-P-0419-0005,2310,False
FDA-2004-P-0482,FDA-2004-P-0482-0004,FDA-2004-P-0482-0005,2309,False
FDA-2004-P-0494,FDA-2004-P-0494-0005,FDA-2004-P-0494-0008,2603,False
FDA-2005-P-0003,FDA-2005-P-0003-0004,FDA-2005-P-0003-0003,184,False
FDA-2005-P-0003,FDA-2005-P-0003-0004,FDA-2005-P-0003-0009,1414,False
FDA-2005-P-0006,FDA-2005-P-0006-0003,FDA-2005-P-0006-0002,179,True
FDA-2005-P-0006,FDA-2005-P-0006-0003,FDA-2005-P-0006-0007,3531,False
FDA-2005-P-0007,FDA-2005-P-0007-0006,FDA-2005-P-0007-0007,2405,False
FDA-2005-P-0007,FDA-2005-P-0007-0006,FDA-2005-P-0007-0004,180,True
FDA-2005-P-0009,FDA-2005-P-0009-0004,FDA-2005-P-0009-0003,68,True
FDA-2005-P-0056,FDA-2005-P-0056-0004,FDA-2005-P-0056-0003,177,True
FDA-2005-P-0059,FDA-2005-P-0059-0008,FDA-2005-P-0059-0080,1871,False
FDA-2005-P-0059,FDA-2005-P-0059-0009,FDA-2005-P-0059-0080,1871,False
FDA-2005-P-0064,FDA-2005-P-0064-0001,FDA-2005-P-0064-0006,1163,False
FDA-2005-P-0120,FDA-2005-P-0120-0004,FDA-2005-P-0120-0030,2440,False
FDA-2005-P-0120,FDA-2005-P-0120-0004,FDA-2005-P-0120-0003,182,False
FDA-2005-P-0126,FDA-2005-P-0126-0004,FDA-2005-P-0126-0003,207,False
FDA-2005-P-0134,FDA-2005-P-0134-0003,FDA-2005-P-0134-0004,1330,False
FDA-2005-P-0150,FDA-2005-P-0150-0004,FDA-2005-P-0150-0003,185,False
FDA-2005-P-0190,FDA-2005-P-0190-0005,FDA-2005-P-0190-0003,174,True
FDA-2005-P-0190,FDA-2005-P-0190-0005,FDA-2005-P-0190-0004,380,False
FDA-2005-P-0192,FDA-2005-P-0192-0004,FDA-2005-P-0192-0003,180,True
FDA-2005-P-0192,FDA-2005-P-0192-0004,FDA-2005-P-0192-0005,2224,False
FDA-2005-P-0194,FDA-2005-P-0194-0004,FDA-2005-P-0194-0002,174,True
FDA-2005-P-0196,FDA-2005-P-0196-0030,FDA-2005-P-0196-0003,209,False
FDA-2005-P-0221,FDA-2005-P-0221-0004,FDA-2005-P-0221-0009,2957,False
FDA-2005-P-0221,FDA-2005-P-0221-0004,FDA-2005-P-0221-0003,185,False
FDA-2005-P-0256,FDA-2005-P-0256-0003,FDA-2005-P-0256-0002,280,False
FDA-2005-P-0256,FDA-2005-P-0256-0003,FDA-2005-P-0256-0001,67,True
FDA-2005-P-0266,FDA-2005-P-0266-0003,FDA-2005-P-0266-0007,1465,False
FDA-2005-P-0314,FDA-2005-P-0314-0005,FDA-2005-P-0314-0003,183,False
FDA-2005-P-0314,FDA-2005-P-0314-0005,FDA-2005-P-0314-0004,995,False
FDA-2005-P-0315,FDA-2005-P-0315-0005,FDA-2005-P-0315-0004,2213,False
FDA-2005-P-0316,FDA-2005-P-0316-0004,FDA-2005-P-0316-0003,183,False
FDA-2005-P-0317,FDA-2005-P-0317-0004,FDA-2005-P-0317-0003,455,False
