Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0495-0001,FDA-2007-P-0495,"Lachman Consultant Services, Inc - Citizen Petition",7/10/07,,CDER,"Lachman Consultant Services, Inc",Petition,Approved,Approved,Initial Petition,False
FDA-2007-P-0495-0006,FDA-2007-P-0495,"FDA/CDER to Lachman Consultant Services, Inc. - Petition Approval",,3/22/10,CDER,"Lachman Consultant Services, Inc",Final Response,Approved,Approved,Other Document,False
FDA-2007-P-0497-0001,FDA-2007-P-0497,Norbrook Inc. - Citizen Petition,5/2/07,,CVM,Norbrook Inc.,Petition,Denied,Denied,Initial Petition,False
FDA-2007-P-0497-0004,FDA-2007-P-0497,"FDA Response to Norbrook, Inc. - Petition Denial",,1/23/08,CVM,Norbrook Inc.,Final Response,Denied,Denied,Correspondence,False
,FDA-2007-P-0009,The National Center on Addiction and Substance Abuse at Columbia University (CASA) - Citizen Petition,,,CDER,The National Center On Addiction And Substance Abuse At Columbia University (Casa),,Denied,Denied,Other Document,False
,FDA-2007-P-0009,Interim Response to The National Center on Addiction and Substance Abuse at Columbia University,,,CDER,The National Center On Addiction And Substance Abuse At Columbia University (Casa),,Response - Interim,Response - Interim,Final FDA Response,False
,FDA-2007-P-0009, Response to The National Center on Addiction and Substance Abuse at Columbia University,,,CDER,The National Center On Addiction And Substance Abuse At Columbia University (Casa),,Response - Denial ,Response - Denial ,Other Document,False
,FDA-2007-P-0011,"Lachman Consultant Services, Inc - Citizen Petition",,,CDER,"Lachman Consultant Services, Inc",,Response-unspecified,Response-unspecified,Other Document,False
,FDA-2007-P-0011,"Lachman Consultant Services, Inc - Interim Response",,,CDER,"Lachman Consultant Services, Inc",,Response- Interim,Response- Interim,Final FDA Response,False
,FDA-2007-P-0011,"Lachman Consultant Services, Inc - Response",,,CDER,"Lachman Consultant Services, Inc",,Response,Response,Other Document,False
,FDA-2007-P-0012,Medicis - Citizen Petition,,,CDER,Medicis,,Response- unspecified,Response- unspecified,Initial Petition,False
,FDA-2007-P-0012,Medicis - Withdrawal,,,CDER,Medicis,,Withdrawal,Withdrawal,Other Document,False
