Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2001-P-0030-0004,FDA-2001-P-0030,"Duramed Pharmaceuticals, Inc. - Citizen Petition",5/1/01,,CDER,"Duramed Pharmaceuticals, Inc.",Petition,Approved,Approved,Correspondence,True
FDA-2001-P-0030-0003,FDA-2001-P-0030,"FDACDER Response to Duramed Pharmaceuticals, Inc. - Petition Approval",,7/9/02,CDER,"Duramed Pharmaceuticals, Inc.",Final Response,Approved,Approved,Final FDA Response,False
FDA-2001-P-0054-0002,FDA-2001-P-0054,"Ferndale Laboratories, Inc. - Citizen Petition",11/8/01,,CDER,"Ferndale Laboratories, Inc.",Petition,Withdrawn,Withdrawn,Interim FDA Response,True
FDA-2001-P-0054-0001,FDA-2001-P-0054,FDA/CDER to Ferndale Laboratories Inc,,02/04/04,CDER,"Ferndale Laboratories, Inc.",Interim Response,,,Initial Petition,True
FDA-2001-P-0122-0002,FDA-2001-P-0122,Citizen Petition from Ruth Armstrong,1/19/01,,CFSAN,Ruth Armstrong,Petition,Denied,Denied,Final FDA Response,False
FDA-2001-P-0122-0007,FDA-2001-P-0122,Interim Response Letter from FDA CFSAN to Ruth Armstrong,,7/27/01,CFSAN,Ruth Armstrong,Interim Response,Denied,Denied,Initial Petition,False
FDA-2001-P-0122-0001,FDA-2001-P-0122,Citizen Petition Denial Response Letter from FDA ORA to Ruth Armstrong,,8/23/04,CFSAN,Ruth Armstrong,Final Response,Denied,Denied,Correspondence,False
FDA-2001-P-0123-0045,FDA-2001-P-0123,The Center for Reproductive Law & Policy et al - Citizen Petition,2/13/01,,CDER,The Center for Reproductive Law & Policy,Petition,,,Other Document,True
FDA-2001-P-0123-0060,FDA-2001-P-0123,HFD-1 to Center for Reproductive Law & Policy - Letter,,9/6/01,CDER,The Center for Reproductive Law & Policy,Interim Response,Response received,Response received,Correspondence,False
FDA-2001-P-0123-0188,FDA-2001-P-0123,"Citizen Petition Denial Response from FDA CDER to Pharmacists Planning Service, Inc.",,12/30/15,CDER,The Center for Reproductive Law & Policy,Final Response,Denied,Denied,Correspondence,False
FDA-2001-P-0123-0187,FDA-2001-P-0123,FDA/CDER to Center for Reproductive Rights - Petition Approval,,6/10/13,CDER,The Center for Reproductive Law & Policy,Final Response,Approved,Approved,Other Document,True
FDA-2001-P-0123-0029,FDA-2001-P-0123,FDA Response to The Center for Reproductive Law & Policy - Petition Denial,,6/9/06,CDER,The Center for Reproductive Law & Policy,Final Response,Denied,Denied,Other Document,False
FDA-2001-P-0123-0186,FDA-2001-P-0123,FDA-CDER/ to Center for Reproductive Rights - Petition Denial,,12/12/11,CDER,The Center for Reproductive Law & Policy,Final Response,Denied,Denied,Final FDA Response,False
FDA-2001-P-0153-0001,FDA-2001-P-0153,FDA Office of Legislation Response to the Honorable Louise M. Slaughter (CI) - Letter,7/1/03,,CFSAN,The Honorable Louise M. Slaughter (CI),Petition,Response received,Response received,Initial Petition,False
FDA-2001-P-0153-0002,FDA-2001-P-0153,FDA/CFSAN Response to Heather Brodie Perry - Petition Denial,,03/15/10,CFSAN,Heather Brodie Perry,Final Response,Denied,Denied,Final FDA Response,False
FDA-2001-P-0154-0005,FDA-2001-P-0154,"Interim Response to ASTA Medica, Inc.",,01/30/02,CDER,"Asta Medical, Inc.",Interim Response,Response received,Response received,Other Document,False
FDA-2001-P-0154-0003,FDA-2001-P-0154,"ASTA Medical, Inc. - Citizen Petition",7/26/01,,CDER,"Asta Medical, Inc.",Petition,,,Final FDA Response,False
FDA-2001-P-0154-0002,FDA-2001-P-0154,FDA/CDER to ASTA Medica Inc Letter,,3/15/04,CDER,"Asta Medical, Inc.",Final Response,Response via federal register,Response via federal register,Initial Petition,True
FDA-2001-P-0238-0005,FDA-2001-P-0238,"FDA/CDER Interim Response to Lachman Consultant Services, Inc. - Letter",,03/21/02,CDER,"Lachman Consultant Services, Inc.",Interim Response,Response received,Response received,Final FDA Response,True
FDA-2001-P-0238-0001,FDA-2001-P-0238,"FDA/CDER Response to Lachman Consultant Services, Inc. - Letter",,04/16/2013,CDER,"Lachman Consultant Services, Inc.",Final Response,Response via federal register,Response via federal register,Other Document,True
FDA-2001-P-0238-0004,FDA-2001-P-0238,"Lachman Consultant Services, Inc. - Citizen Petition",9/18/01,,CDER,"Lachman Consultant Services, Inc.",Petition,Response via federal register,Response via federal register,Correspondence,False
FDA-2001-P-0239-0001,FDA-2001-P-0239,"Citizen Petition from Krislov & Associates, LTD.",4/20/01,,CFSAN,"Krislov & Associates, Ltd.",Petition,Response received,Response received,Initial Petition,False
FDA-2001-P-0239-0005,FDA-2001-P-0239,"Letter from FDA/CFSAN to Krislov & Associates, LTD.",,10/23/01,CFSAN,"Krislov & Associates, Ltd.",Interim Response,Response received,Response received,Correspondence,False
FDA-2001-P-0239-0006,FDA-2001-P-0239,Final Response from FDA CFSAN to Krislov & Associates Ltd.,,7/2/20,CFSAN,"Krislov & Associates, Ltd.",Final Response,Denied,Denied,Other Document,True
FDA-2001-P-0241-0005,FDA-2001-P-0241,"Ferndale Labortories, Inc. - Citizen Petition",8/10/01,,CDER,"Ferndale Labortories, Inc.",Petition,No response,No response,Initial Petition,False
FDA-2001-P-0283-0003,FDA-2001-P-0283,FDA/CDER Interim Response to Public Citizen Health Research Group,,02/15/02,CDER,Public Citizen Health Research Group,Interim Response,Partially approved or denied,Partially approved or denied,Initial Petition,True
FDA-2001-P-0283-0004,FDA-2001-P-0283,Citizen Petition Partial Approval and Denial Response from FDA/CDER to Public Citizen,,6/20/14,CDER,Public Citizen Health Research Group,Final Response,Partially approved or denied,Partially approved or denied,Correspondence,True
FDA-2001-P-0283-0001,FDA-2001-P-0283,Public Citizen Health Research Group - Citizen Petition,8/27/01,,CDER,Public Citizen Health Research Group,Petition,Partially approved or denied,Partially approved or denied,Interim FDA Response,False
FDA-2002-P-0001-0005,FDA-2002-P-0001,"Response Letter from FDA/CDER to CorePharma, LLC",,05/28/03,CDER,"Corepharma, Llc",Final Response,Response received,Response received,Other Document,False
FDA-2002-P-0001-0002,FDA-2002-P-0001,"Citizen Petition from CorePharma, LLC",11/5/02,,CDER,"Corepharma, Llc",Petition,Response received,Response received,Initial Petition,False
FDA-2002-P-0002-0001,FDA-2002-P-0002,Petition for Stay of Action Approval Response Letter from FDA OPPLA to Bayer Corporation,,6/3/03,CDER,Bayer Corporation,Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0002-0002,FDA-2002-P-0002,Petition for Stay of Action from Bayer Corporation,8/5/02,,CDER,Bayer Corporation,Petition,Approved,Approved,Initial Petition,False
FDA-2002-P-0041-0024,FDA-2002-P-0041,Petition for Health Claims: Phosphatidylserine and Dementia Submitted to the Food and Drug Administration,4/19/02,,CFSAN,,Petition,Response received,Response received,Other Document,True
FDA-2002-P-0041-0023,FDA-2002-P-0041,HF-22,,11/23/2004,CFSAN,,Final Response,Response received,Response received,Final FDA Response,False
FDA-2002-P-0046-0003,FDA-2002-P-0046,"Citizen Petition from Arla Foods Ingredients amba (Hyman, Phelps & McNamara, PC)",1/9/02,,CFSAN,"Arla Foods Ingredients Amba (Hyman, Phelps & Mcnamara, Pc)",Petition,Response received,Response received,Other Document,False
FDA-2002-P-0046-0008,FDA-2002-P-0046,"Letter from FDA CFSAN to Hyman, Phelps & McNamara, P.C.",,4/19/02,CFSAN,"Arla Foods Ingredients Amba (Hyman, Phelps & Mcnamara, Pc)",Interim Response,Response received,Response received,Other Document,False
FDA-2002-P-0068-0003,FDA-2002-P-0068,"Auric Hearing Systems, Inc. - Change in Classification Petition",6/19/02,,CDRH,"Lord, Bissell & Brook LLT ",Change in Classification Petition,No response,No response,Other Document,False
FDA-2002-P-0076-0007,FDA-2002-P-0076,HFD-600 to Banner Pharmacaps Inc. - Petition Approval,,04/14/03,CDER,Banner Pharmacaps Inc.,Final Response,Withdrawn,Withdrawn,Interim FDA Response,False
FDA-2002-P-0076-0002,FDA-2002-P-0076,Banner Pharmacaps Inc. - Citizen Petition,8/5/02,,CDER,Banner Pharmacaps Inc.,Petition,Withdrawn,Withdrawn,Initial Petition,False
FDA-2002-P-0076-0001,FDA-2002-P-0076,HFD-600 to Banner Pharmacaps Inc. - Letter,,2/3/04,CDER,Banner Pharmacaps Inc.,Interim Response,Withdrawn,Withdrawn,Final FDA Response,False
FDA-2002-P-0076-0008,FDA-2002-P-0076,Banner Pharmacaps Inc. - Withdrawal of Citizen Petition,,6/7/07,CDER,Banner Pharmacaps Inc.,Withdrawal of Citizen Petition,Withdrawn,Withdrawn,Other Document,False
FDA-2002-P-0164-0002,FDA-2002-P-0164,FDA/CDER to Covington & Burling - Petition Approval,,11/8/02,CDER,Hoffman-LaRoche (Roche),Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0168-0002,FDA-2002-P-0168,BioPartners GmbH - Citizen Petition,10/2/02,,CDER,Biopartners Gmbh,Petition,Withdrawn,Withdrawn,Interim FDA Response,False
FDA-2002-P-0168-0001,FDA-2002-P-0168,FDA/CDER to Frommer Lawrence & Haug LLP - Letter,,2/3/2004,CDER,Biopartners Gmbh,Interim Response,Withdrawn,Withdrawn,Initial Petition,False
FDA-2002-P-0168-0008,FDA-2002-P-0168,BioPartners GmbH - Withdrawal,,11/29/04,CDER,Biopartners Gmbh,Withdrawal of Citizen Petition,Withdrawn,Withdrawn,Other Document,False
FDA-2002-P-0208-0005,FDA-2002-P-0208,"Colonel Colin G. Meyer, D.V.M,, Ph.D. - Citizen Petition",12/18/01,,CFSAN,"Colonel Colin G. Meyer, D.V.M,, Ph.D.",Petition,Further info requested,Further info requested,Interim FDA Response,False
FDA-2002-P-0208-0001,FDA-2002-P-0208,HFS-265 to Food Analysis and Diagnostic Laboratory,,08/13/03,CFSAN,"Colonel Colin G. Meyer, D.V.M,, Ph.D.",Interim Response,Further info requested,Further info requested,Initial Petition,False
FDA-2002-P-0210-0005,FDA-2002-P-0210,"Carbolite Foods, Inc. - Petition for Reconsideration and Stay of Action",2/13/03,,CFSAN,"Carbolite Foods, Inc.",Supplemental Petition,Abandoned,Abandoned,Initial Petition,False
FDA-2002-P-0210-0002,FDA-2002-P-0210,"Carbolite Foods, Inc. - Citizen Petition",10/7/02,,CFSAN,"Carbolite Foods, Inc.",Petition,Denied,Denied,Final FDA Response,False
FDA-2002-P-0210-0021,FDA-2002-P-0210,Letter requesting to Close Out Petition,,11/1/18,CFSAN,"Carbolite Foods, Inc.",Interim Response,Abandoned,Abandoned,Other Document,False
FDA-2002-P-0210-0004,FDA-2002-P-0210,"FDA/CFSAN Response to Carbolite Foods, Inc. - Petiton Denial",,01/15/2003,CFSAN,"Carbolite Foods, Inc.",Final Response,Denied,Denied,Interim FDA Response,False
FDA-2002-P-0212-0002,FDA-2002-P-0212,The Institute for Human Rights - Citizen Petition,4/17/02,,CDER,The Institute For Human Rights,Petition,Denied,Denied,Final FDA Response,False
FDA-2002-P-0212-0001,FDA-2002-P-0212,FDA [HFC-1] to Gene Koprowski - Petiton Denial,,5/28/03,CDER,The Institute For Human Rights,Final Response,Denied,Denied,Initial Petition,False
FDA-2002-P-0214-0004,FDA-2002-P-0214,Citizen Petition from The Weinberg Group Inc.,11/26/02,,CDER,The Weinberg Group Inc.,Petition,Approved,Approved,Final FDA Response,False
FDA-2002-P-0214-0001,FDA-2002-P-0214,"Citizen Petition Approval Response Letter from FDA CDER to The Weinberg Group, Inc.",,5/14/03,CDER,The Weinberg Group Inc.,Final Response,Approved,Approved,Initial Petition,False
FDA-2002-P-0218-0003,FDA-2002-P-0218,Citizen Petition from Kirkpatrick & Lockhart LLP,5/17/02,,CDER,Kirkpatrick & Lockhart Llp,Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0218-0001,FDA-2002-P-0218,Petition Approval from FDA/CDER to Kirkpatrick & Lockhart LLP,,10/06/03,CDER,Kirkpatrick & Lockhart Llp,Final Response,Approved,Approved,Interim FDA Response,False
FDA-2002-P-0218-0002,FDA-2002-P-0218,Letter from FDA/CDER to Kirkpatrick & Lockhart LLP,,02/03/2003,CDER,Kirkpatrick & Lockhart Llp,Interim Response,Approval suspended,Approval suspended,Final FDA Response,False
FDA-2002-P-0226-0001,FDA-2002-P-0226,FDA/CFSAN Interim Response to CSPI -  Letter,,09/20/2002,CFSAN,Cspi,Interim Response,Response received,Response received,Interim FDA Response,False
FDA-2002-P-0226-0011,FDA-2002-P-0226,CSPI - Citizen Petition,3/22/02,,CFSAN,Cspi,Petition,Response received,Response received,Initial Petition,False
FDA-2002-P-0245-0001,FDA-2002-P-0245,"Interim Response From FDA CDER to Lachman Consultant Services, Inc.",,5/15/03,CDER,"Lachman Consultant Services, Inc.",Interim Response,Response received,Response received,Interim FDA Response,False
FDA-2002-P-0245-0003,FDA-2002-P-0245,"Final Response from FDA CDER to Lachman Consultant Services, Inc.",,11/06/03,CDER,"Lachman Consultant Services, Inc.",Final Response,Response received,Response received,Final FDA Response,False
FDA-2002-P-0245-0006,FDA-2002-P-0245,"Citizen Petition From Lachman Consultant Services, Inc.",12/5/02,,CDER,"Lachman Consultant Services, Inc.",Petition,Response received,Response received,Initial Petition,False
FDA-2002-P-0246-0001,FDA-2002-P-0246,FDA to Auishalom Klammer - Petition Denial,,12/20/2006,CFSAN,Auishalom Klammer,Final Response,Denied,Denied,Final FDA Response,False
FDA-2002-P-0246-0002,FDA-2002-P-0246,Auishalom Klammer - Citizen Petition,4/5/02,,CFSAN,Auishalom Klammer,Petition,Denied,Denied,Initial Petition,False
FDA-2002-P-0247-0006,FDA-2002-P-0247,Citizen Petition from Mission Possible International,6/15/02,,CFSAN,Mission Possible International,Petition,Denied,Denied,Initial Petition,False
FDA-2002-P-0247-0017,FDA-2002-P-0247,Interim Response Letter from FDA/CFSAN to Betty L. Martini Mission Possible International,,05/01/03,CFSAN,Mission Possible International,Interim Response,Denied,Denied,Interim FDA Response,False
FDA-2002-P-0247-0023,FDA-2002-P-0247,Citizen Petition Denial Letter Response from FDA/CFSAN to Betty Martini,,10/01/14,CFSAN,Mission Possible International,Final Response,Denied,Denied,Final FDA Response,False
FDA-2002-P-0290-0013,FDA-2002-P-0290,"Interim Response Letter from FDA CDER to CollaGenex Pharmaceuticals, Inc.",,01/09/03,CDER,"Collagenex Pharmaceuticals, Inc",Interim Response,Response received,Response received,Initial Petition,False
FDA-2002-P-0290-0004,FDA-2002-P-0290,"Citizen Petition from CollaGenex Pharmaceuticals, Inc",7/10/02,,CDER,"Collagenex Pharmaceuticals, Inc",Petition,Response received,Response received,Interim FDA Response,False
FDA-2002-P-0290-0014,FDA-2002-P-0290,"Letter from FDA CDER to CollaGenex Pharmaceuticals, Inc.",,5/16/05,CDER,"Collagenex Pharmaceuticals, Inc",Final Response,Response received,Response received,Final FDA Response,False
FDA-2002-P-0364-0001,FDA-2002-P-0364,"Citizen Petition from the American Association of Pro Life Obstetricians and Gynecologists, et al.",8/20/02,,CDER,"The American Association Of Pro Life Obstetricians And Gynecologists, Et Al.",Petition,Denied,Denied,Initial Petition,False
FDA-2002-P-0364-0002,FDA-2002-P-0364,"Citizen Petition Denial Response from FDA CDER to the American Association of Pro Life Obstetricians and Gynecologists, et al",,03/29/16,CDER,"The American Association Of Pro Life Obstetricians And Gynecologists, Et Al.",Final Response,Denied,Denied,Final FDA Response,False
FDA-2002-P-0381-0003,FDA-2002-P-0381,"Interim Response to King & Spalding (Paddock Laboratories, Inc.)",,03/04/2003,CDER,"Paddock Laboratories, Inc.",Interim Response,Denied,Denied,Initial Petition,False
FDA-2002-P-0381-0004,FDA-2002-P-0381,"FDA/CDER to King & Spalding (Paddock Laboratories, Inc.) - Petition Denial",,07/19/10,CDER,"Paddock Laboratories, Inc.",Final Response,Denied,Denied,Interim FDA Response,False
FDA-2002-P-0381-0001,FDA-2002-P-0381,"Paddock Laboratories, Inc. - Citizen Petition",9/5/02,,CDER,"Paddock Laboratories, Inc.",Petition,Denied,Denied,Final FDA Response,False
FDA-2002-P-0390-0002,FDA-2002-P-0390,Petition Denial Response from FDA CDER,,10/14/03,CDER,Pfizer,Final Response,Denied,Denied,Final FDA Response,False
FDA-2002-P-0397-0001,FDA-2002-P-0397,Citizen Petition from Bioniche Pharma Group Limited,11/5/02,,CDER,Bioniche Pharma Group Limited,Supplemental Petition,Approved,Approved,Other Document,False
FDA-2002-P-0397-0005,FDA-2002-P-0397,Approval Letter from FDA CDER to Bioniche Pharma Group Limited,,2/25/03,CDER,Bioniche Pharma Group Limited,Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0440-0001,FDA-2002-P-0440,"Citizen Petition from Lachman Consultant Services, Inc.",11/13/02,,CDER,"Lachman Consultant Services, Inc.",Petition,Approved,Approved,Initial Petition,False
FDA-2002-P-0440-0005,FDA-2002-P-0440,Approval Letter from FDA CDER to Lachman Consultant Services,,2/25/03,CDER,"Lachman Consultant Services, Inc.",Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0443-0001,FDA-2002-P-0443,Frommer Lawrence & Haug LLP - Citizen Petition,9/23/02,,CDER,Frommer Lawrence & Haug Llp,Petition,Withdrawn,Withdrawn,Initial Petition,False
FDA-2002-P-0444-0001,FDA-2002-P-0444,Citizen Petition from Gensia Sicor Pharmaceuticals,7/31/02,,CDER,Gensia Sicor Pharmaceuticals,Petition,Approved,Approved,Initial Petition,False
FDA-2002-P-0444-0006,FDA-2002-P-0444,Approval Letter from FDA CDER to Gensia Sicor Pharmaceuticals,,2/25/03,CDER,Gensia Sicor Pharmaceuticals,Final Response,Approved,Approved,Final FDA Response,False
FDA-2002-P-0471-0005,FDA-2002-P-0471,Petition Approval from FDA/CDER to AAC Consulting Group,,2/27/03,CDER,Aac Consulting Group,Final Response,Approved,Approved,Initial Petition,False
FDA-2002-P-0471-0001,FDA-2002-P-0471,Citizen Petition from AAC Consulting Group,5/29/02,,CDER,Aac Consulting Group,Petition,Approved,Approved,Final FDA Response,False
FDA-2002-P-0503-0001,FDA-2002-P-0503,Citizens Petition Response from the FDA CFSAN to Center for Science in the Public Interest,,07/19/16,CFSAN,Center For Science In The Public Interest,Interim Response,Response received,Response received,Interim FDA Response,False
FDA-2002-P-0503-0002,FDA-2002-P-0503,Citizen Petition from Center for Science in the Public Interest,10/9/02,,CFSAN,Center For Science In The Public Interest,Petition,Response received,Response received,Initial Petition,False
FDA-2002-P-0505-0001,FDA-2002-P-0505,Citizen Petition from Lachman Consultant Services Inc.,10/18/02,,CDER,Lachman Consultant Services Inc.,Petition,Approved,Approved,Initial Petition,False
FDA-2002-P-0505-0006,FDA-2002-P-0505,Petition Approval from FDA/CDER to Lachman Consultant Services,,02/13/03,CDER,Lachman Consultant Services Inc.,Final Response,Approved,Approved,Final FDA Response,False
FDA-2003-P-0003-0030,FDA-2003-P-0003,FDA/CDER to Biotechnology Industry Organization - Petition Denial,,02/15/12,CDER,Biotechnology Industry Organization,Petition,Denied,Denied,Initial Petition,False
FDA-2003-P-0005-0012,FDA-2003-P-0005,"Interim Response from FDA CVM to Keller & Heckman, LLP",,06/30/04,CVM,Alpharma Inc.,Interim Response,Response received,Response received,Initial Petition,False
FDA-2003-P-0005-0002,FDA-2003-P-0005,Citizen Petition from Alpharma Inc.,11/5/03,,CVM,Alpharma Inc.,Petition,Withdrawn,Withdrawn,Interim FDA Response,False
FDA-2003-P-0008-0005,FDA-2003-P-0008,"Citizen Petition Denial Response Letter from FDA OPPLA to CollaGenex Pharmaceuticals, Inc.",,05/13/05,CDER,"Collagenex Pharmaceuticals, Inc.",Final Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0008-0006,FDA-2003-P-0008,"Citizen Petition from CollaGenex Pharmaceuticals, Inc.",7/14/03,,CDER,"Collagenex Pharmaceuticals, Inc.",Petition,Denied,Denied,Initial Petition,False
FDA-2003-P-0009-0003,FDA-2003-P-0009,Abigail Alliance and the Washington Legal Foundation - Citizen Petition,6/11/03,,ORA,Abigail Alliance And The Washington Legal Foundation,Petition,Response received,Response received,Interim FDA Response,False
FDA-2003-P-0009-0002,FDA-2003-P-0009,FDA/ORA Interim Response to Washington Legal Foundation,,12/16/03,ORA,Abigail Alliance And The Washington Legal Foundation,Interim Response,Response received,Response received,Initial Petition,False
FDA-2003-P-0010-0004,FDA-2003-P-0010,"Nabeal M. Saif, R.Ph. - Citizen Petition",9/13/03,,CDER,"Nabeal M. Saif, R.Ph.",Petition,Denied,Denied,Final FDA Response,False
FDA-2003-P-0010-0003,FDA-2003-P-0010,"Office of Generic Drugs, CDER to Nabeal M. Saif, R.Ph. - Petition Denial",,10/15/04,CDER,"Nabeal M. Saif, R.Ph.",Final Response,Denied,Denied,Initial Petition,False
FDA-2003-P-0014-0002,FDA-2003-P-0014,Petition Denial Response Letter from FDA CDRH to Timothy Milburn,,06/28/04,CDRH,Timothy Milburn,Final Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0015-0006,FDA-2003-P-0015,"Jerussi Consulting, Inc. - Citizen Petition",8/11/03,,CDER,"Jerussi Consulting, Inc.",Petition,Denied,Denied,Interim FDA Response,False
FDA-2003-P-0015-0003,FDA-2003-P-0015,FDA [HFD-600] to Jerussi Consulting Inc - Letter,,02/03/04,CDER,"Jerussi Consulting, Inc.",Interim Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0015-0004,FDA-2003-P-0015,"FDA [HFD-600] to Jerussi Consulting, Inc. - Petiton Denial",,10/15/04,CDER,"Jerussi Consulting, Inc.",Final Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0015-0005,FDA-2003-P-0015,"FDA [HFD-600] to Jerussi Consulting, Inc. - Petiton Denial",,12/02/04,CDER,"Jerussi Consulting, Inc.",Final Response,Denied,Denied,Initial Petition,False
FDA-2003-P-0071-0001,FDA-2003-P-0071,Interim Response Letter from FDA OC to Orphan Medical,,08/15/03,OC,Orphan Medical,Interim Response,Response received,Response received,Interim FDA Response,False
FDA-2003-P-0071-0003,FDA-2003-P-0071,Citizen Petition from Orphan Medical,1/28/03,,OC,Orphan Medical,Petition,Response received,Response received,Initial Petition,False
FDA-2003-P-0072-0015,FDA-2003-P-0072,International Dairy Foods Association - Citizen Petition,3/31/03,,CFSAN,International Dairy Foods Association,Petition,No response,No response,Initial Petition,False
FDA-2003-P-0122-0004,FDA-2003-P-0122,"Citizen Petition from Lachman Consultant Services, Inc.",10/1/03,,CDER,"Lachman Consultant Services, Inc.",Petition,Approved,Approved,Correspondence,False
FDA-2003-P-0122-0003,FDA-2003-P-0122,"Petition Approval Letter from FDA CDER to Lachman Consultant Services, Inc.",,10/18/05,CDER,"Lachman Consultant Services, Inc.",Final Response,Approved,Approved,Correspondence,False
FDA-2003-P-0127-0002,FDA-2003-P-0127,"FDA/CDER Response to The Weinberg Group Inc., February 3, 2004 - Letter",,02/03/04,CDER,"The Weinberg Group, Inc.",Interim Response,Withdrawn,Withdrawn,Correspondence,True
FDA-2003-P-0127-0003,FDA-2003-P-0127,"The Weinberg Group, Inc. - Citizen Petition",6/27/03,,CDER,"The Weinberg Group, Inc.",Petition,Withdrawn,Withdrawn,Interim FDA Response,True
FDA-2003-P-0174-0024,FDA-2003-P-0174,American Lung Association - Citizen Petition,1/29/03,,CDER,American Lung Association,Petition,Approved,Approved,Interim FDA Response,False
FDA-2003-P-0174-0001,FDA-2003-P-0174,HFD-005 to American Lung Association,,07/28/03,CDER,American Lung Association,Interim Response,Approved,Approved,Other Document,False
FDA-2003-P-0174-0013,FDA-2003-P-0174,HF-22 to American Lung Association,,07/15/04,CDER,American Lung Association,Final Response,Approved,Approved,Other Document,False
FDA-2003-P-0184-0003,FDA-2003-P-0184,"HFZ-1 to Russel J. Thomsen, MD - Petition Denial",,06/14/04,CDRH,"Russel J. Thomsen, Md",Final Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0184-0004,FDA-2003-P-0184,"Russel J. Thomsen, MD - Citizen Petition",9/8/03,,CDRH,"Russel J. Thomsen, Md",Petition,Denied,Denied,Initial Petition,False
FDA-2003-P-0224-0002,FDA-2003-P-0224,"FDA/CDER Interim Response to Mattingly, Stanger &  Malur",,01/22/04,CDER,"Mattingly, Stanger & Malur, P.C.",Interim Response,Denied,Denied,Interim FDA Response,False
FDA-2003-P-0224-0004,FDA-2003-P-0224,"FDA/CDER Response to Mattingly, Stanger & Malur - Petition Denial",,01/21/05,CDER,"Mattingly, Stanger & Malur, P.C.",Final Response,Denied,Denied,Initial Petition,False
FDA-2003-P-0224-0003,FDA-2003-P-0224,"Mattingly, Stanger & Malur, P.C. - Citizen Petition",8/12/03,,CDER,"Mattingly, Stanger & Malur, P.C.",Petition,Denied,Denied,Final FDA Response,False
FDA-2003-P-0226-0004,FDA-2003-P-0226,Petition Denial Letter FDA-2003-P-0226_Redacted,,04/14/16,CFSAN,Erick Swanson,Final Response,Denied,Denied,Initial Petition,False
FDA-2003-P-0226-0003,FDA-2003-P-0226,Interim Response Letter from FDA CFSAN to Erick Swanson,,04/10/09,CFSAN,Erick Swanson,Interim Response,Denied,Denied,Interim FDA Response,False
FDA-2003-P-0226-0002,FDA-2003-P-0226,Citizen Petition from Erick Swanson,5/16/03,,CFSAN,Erick Swanson,Petition,Denied,Denied,Final FDA Response,False
FDA-2003-P-0227-0004,FDA-2003-P-0227,FDA/OC to Hogan Lovells US LLP (Abbott Laboratories) - Petition Denial,,04/13/12,CDER,Abbott Laboratories,Final Response,Denied,Denied,Interim FDA Response,False
FDA-2003-P-0227-0002,FDA-2003-P-0227,FDA/OC  to  Covington & Burling et al - Petition Denial,,06/23/04,CDER,King Pharmaceuticals,Final Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0227-0001,FDA-2003-P-0227,Interim Response to King Pharmaaceuticals Inc,,09/16/03,CDER,King Pharmaceuticals,Interim Response,Denied,Denied,Final FDA Response,False
FDA-2003-P-0272-0002,FDA-2003-P-0272,"Compassion Over Killing, Inc. - Citizen Petition",6/11/03,,CFSAN,"Compassion Over Killing, Inc.",Petition,Withdrawn,Withdrawn,Initial Petition,False
FDA-2003-P-0272-0006,FDA-2003-P-0272,"FDA/CFSAN Interim Response to Compassion Over Killing, Inc",,12/05/03,CFSAN,"Compassion Over Killing, Inc.",Interim Response,Withdrawn,Withdrawn,Interim FDA Response,False
FDA-2003-P-0273-0006,FDA-2003-P-0273,"Aventis Pharmaceuticals, Inc., (Covington & Burling, LLP) - Citizen Petition",2/19/03,,CDER,"Aventis Pharmaceuticals, Inc., (Covington & Burling, Llp)",Petition,Response received,Response received,Interim FDA Response,False
FDA-2003-P-0273-0002,FDA-2003-P-0273,"FDA/CDER Response to Covington &  Burling [Aventis Pharmaceuticals, Inc.] - Letter",,08/05/03,CDER,"Aventis Pharmaceuticals, Inc., (Covington & Burling, Llp)",Interim Response,Response received,Response received,Initial Petition,False
FDA-2003-P-0282-0003,FDA-2003-P-0282,HFD-600 to International Regulatory Business Consultants LLC,2/4/04,,CDER,International Regulatory Business Consultants LLC,Interim Response,Withdrawn,Withdrawn,Interim FDA Response,False
FDA-2003-P-0291-0003,FDA-2003-P-0291,Citizen Petition from Center for Science in the Public Interest (CSPI),6/9/03,,CDER,Center for Science in the Public Interest,Petition,Denied,Denied,Interim FDA Response,False
FDA-2003-P-0291-0002,FDA-2003-P-0291,FDA/CFSAN to Center for Science in the Public Interest,,11/21/03,CDER,Center for Science in the Public Interest,Interim Response,Denied,Denied,Initial Petition,False
FDA-2003-P-0291-0004,FDA-2003-P-0291,Response Letter from FDA CFSAN to Center for Science in the Public Interest,,10/15/19,CFSAN,Center for Science in the Public Interest,Final Response,Denied,Denied,Final FDA Response,False
